date,oil_productivity,gas_productivity,operator_name
2016-08-01,2047.3148148148148,2197.1296296296296,PETRO-HUNT DAKOTA LLC
2016-07-01,2446.740740740741,2538.5185185185187,PETRO-HUNT DAKOTA LLC
2016-06-01,2311.7636363636366,2242.836363636364,PETRO-HUNT DAKOTA LLC
2016-05-01,2702.846153846154,2532.403846153846,PETRO-HUNT DAKOTA LLC
2016-04-01,2171.36,2097.64,PETRO-HUNT DAKOTA LLC
2016-03-01,2977.266666666667,2923.3333333333335,PETRO-HUNT DAKOTA LLC
2016-02-01,2855.1666666666665,2657.0925925925926,PETRO-HUNT DAKOTA LLC
2016-01-01,3331.1724137931033,3049.896551724138,PETRO-HUNT DAKOTA LLC
2015-11-01,3337.915254237288,2723.64406779661,PETRO-HUNT DAKOTA LLC
2015-10-01,3253.4166666666665,2722.5666666666666,PETRO-HUNT DAKOTA LLC
2017-06-01,9182.379310344828,11682.637931034482,WPX ENERGY WILLISTON LLC
2017-05-01,5344.018867924528,7288.735849056604,WPX ENERGY WILLISTON LLC
2017-04-01,5247.244897959184,7551.530612244898,WPX ENERGY WILLISTON LLC
2017-03-01,4197.530612244898,6297.673469387755,WPX ENERGY WILLISTON LLC
2017-02-01,3432.0666666666666,5124.644444444444,WPX ENERGY WILLISTON LLC
2017-01-01,3673.177777777778,5965.0,WPX ENERGY WILLISTON LLC
2016-12-01,3240.318181818182,5562.545454545455,WPX ENERGY WILLISTON LLC
2016-11-01,4123.413043478261,6571.652173913043,WPX ENERGY WILLISTON LLC
2016-10-01,4677.304347826087,7181.717391304348,WPX ENERGY WILLISTON LLC
2016-09-01,4841.222222222223,5658.444444444444,WPX ENERGY WILLISTON LLC
2016-08-01,5091.155555555555,6235.533333333334,WPX ENERGY WILLISTON LLC
2016-07-01,5686.177777777778,8507.577777777778,WPX ENERGY WILLISTON LLC
2016-06-01,5702.7555555555555,6984.9111111111115,WPX ENERGY WILLISTON LLC
2016-05-01,6708.739130434783,8404.891304347826,WPX ENERGY WILLISTON LLC
2016-04-01,7293.04347826087,9208.173913043478,WPX ENERGY WILLISTON LLC
2016-03-01,9118.173913043478,10618.521739130434,WPX ENERGY WILLISTON LLC
2016-02-01,3558.6666666666665,5585.190476190476,WPX ENERGY WILLISTON LLC
2016-01-01,4067.125,6252.875,WPX ENERGY WILLISTON LLC
2015-12-01,4213.5641025641025,6687.384615384615,WPX ENERGY WILLISTON LLC
2015-11-01,3837.25,5698.625,WPX ENERGY WILLISTON LLC
2015-10-01,4714.825,7088.35,WPX ENERGY WILLISTON LLC
2015-09-01,4504.225,6839.2,WPX ENERGY WILLISTON LLC
2015-07-01,5111.975,7211.875,WPX ENERGY WILLISTON LLC
2015-06-01,5270.975,7668.7,WPX ENERGY WILLISTON LLC
2015-05-01,6005.2,8386.725,WPX ENERGY WILLISTON LLC
2015-04-01,6175.775,8259.025,WPX ENERGY WILLISTON LLC
2015-03-01,6717.2,8510.375,WPX ENERGY WILLISTON LLC
2015-02-01,6593.725,6543.975,WPX ENERGY WILLISTON LLC
2015-01-01,6624.7,7545.75,WPX ENERGY WILLISTON LLC
2014-11-01,8856.918918918918,10100.0,WPX ENERGY WILLISTON LLC
2014-10-01,6454.735294117647,7535.470588235294,WPX ENERGY WILLISTON LLC
2014-09-01,6731.677419354839,8612.322580645161,WPX ENERGY WILLISTON LLC
2014-08-01,5140.678571428572,6678.428571428572,WPX ENERGY WILLISTON LLC
2014-07-01,2664.0,3324.1071428571427,WPX ENERGY WILLISTON LLC
2014-06-01,2766.68,4147.88,WPX ENERGY WILLISTON LLC
2014-05-01,3099.16,3635.88,WPX ENERGY WILLISTON LLC
2014-04-01,3069.84,4850.56,WPX ENERGY WILLISTON LLC
