api,EUR oil,operator_name,well_name
33053065220000,315140,MARATHON OIL COMPANY,DEANE USA   24-22H
33053065560000,332246,PETRO-HUNT DAKOTA LLC,NOONAN FEDERAL  3-18-19H
33053066510000,348908,PETRO-HUNT DAKOTA LLC,CLARK GRISWOLD FEDERAL  3-17-20H
33053066580000,291333,MARATHON OIL COMPANY,TAT USA  14-22H
33053067090000,842409,WPX ENERGY WILLISTON LLC,EMMA OWNER  23-14HA
33053068640000,522941,MARATHON OIL COMPANY,CHARMAINE USA  14-35TFH
33053068650000,427892,MARATHON OIL COMPANY,CLARKS CREEK USA  14-35H
33053068660000,0,MARATHON OIL COMPANY,ETHEL USA  13-35TFH-2B
33053068670000,434962,MARATHON OIL COMPANY,HEATHER USA  13-35TFH
33053068680000,456262,MARATHON OIL COMPANY,JUANITA USA  13-35H
33053068730000,386681,ENERPLUS RESOURCES USA CORPORATION,BAIT   149-95-36C-25H
33053068740000,454821,ENERPLUS RESOURCES USA CORPORATION,TACKLE   149-95-36C-25H TF
33053069120000,164417,ABRAXAS PETROLEUM CORP,STENEHJEM  10H
33053069130000,439079,ABRAXAS PETROLEUM CORP,STENEHJEM  11H
33053069140000,271990,ABRAXAS PETROLEUM CORP,STENEHJEM  12H
33053069150000,231941,ABRAXAS PETROLEUM CORP,STENEHJEM  13H
33053069160000,196637,ABRAXAS PETROLEUM CORP,STENEHJEM  14H
33053069170000,324822,ABRAXAS PETROLEUM CORP,STENEHJEM  15H
33053069190000,997985,WPX ENERGY WILLISTON LLC,POPLAR  32-29HE
33053071600000,607574,ENERPLUS RESOURCES USA CORPORATION,FLYER  152-94-23DH TF
33053071880000,197005,WPX ENERGY WILLISTON LLC,LUCY EVANS   29-32HF
33053071890000,420281,WPX ENERGY WILLISTON LLC,LUCY EVANS   29-32HUL
33053072560000,1116794,WPX ENERGY WILLISTON LLC,RACHEL WOLF   22HC
33053072570000,336409,WPX ENERGY WILLISTON LLC,RACHEL WOLF   27-34HG
33053072580000,524827,WPX ENERGY WILLISTON LLC,RACHEL WOLF   27-34HY
33053072590000,292172,WPX ENERGY WILLISTON LLC,RACHEL WOLF   27-34HC
33053072600000,160782,WPX ENERGY WILLISTON LLC,RACHEL WOLF   27-34HS
33053072610000,280346,ENERPLUS RESOURCES USA CORPORATION,FURLONG  151-94-21A-28H
33053072620000,478414,ENERPLUS RESOURCES USA CORPORATION,WATER  151-94-16DH-TF
33053072630000,744770,ENERPLUS RESOURCES USA CORPORATION,FIRE  151-94-16DH
33053073180000,855110,ABRAXAS PETROLEUM CORP,STENEHJEM  6H
33053073190000,227706,ABRAXAS PETROLEUM CORP,STENEHJEM  7H
33053073200000,485217,ABRAXAS PETROLEUM CORP,STENEHJEM  8H
33053073210000,496755,ABRAXAS PETROLEUM CORP,STENEHJEM  9H
33053074210000,910835,ENERPLUS RESOURCES USA CORPORATION,QUILLFISH  149-95-36C-25H-TF-LLW
33053074720000,277044,MARATHON OIL COMPANY,GRADY USA  21-4H
33053074730000,229008,MARATHON OIL COMPANY,MARCELLA USA  21-4TFH
33053074740000,633508,MARATHON OIL COMPANY,GARNESS USA  31-4TFH-2B
33053074750000,410574,MARATHON OIL COMPANY,CUNNINGHAM USA  31-4H
33053075060000,240805,MARATHON OIL COMPANY,RENO USA  24-9TFH-2B
33053075070000,406477,MARATHON OIL COMPANY,KERMIT USA  14-9H
33053075080000,368954,MARATHON OIL COMPANY,ARDEN USA  14-9TFH
33053075660000,444992,WPX ENERGY WILLISTON LLC,RUBY PARSHALL  31-30HY
33053075670000,1102519,WPX ENERGY WILLISTON LLC,RUBY PARSHALL  31-30HC
33053075680000,365232,WPX ENERGY WILLISTON LLC,RUBY PARSHALL  31-30HZ
33053075820000,298524,ABRAXAS PETROLEUM CORP,YELLOWSTONE  3H
33053075830000,1224200,ABRAXAS PETROLEUM CORP,YELLOWSTONE  2H
33053076170000,350717,WPX ENERGY WILLISTON LLC,GRIZZLY  24-13HA
33053076180000,468719,WPX ENERGY WILLISTON LLC,GRIZZLY  24-13HG
33053076210000,455118,WPX ENERGY WILLISTON LLC,GRIZZLY  24-13HW
33053076770000,694125,ENERPLUS RESOURCES USA CORPORATION,SMOOTH GREEN  152-94-18A-19H
33053076780000,1103657,ENERPLUS RESOURCES USA CORPORATION,RACER  152-94-18A-19H-TF
33053076790000,795177,ENERPLUS RESOURCES USA CORPORATION,GARTER  152-94-18A-19H
33053076840000,237018,ENERPLUS RESOURCES USA CORPORATION,REDBELLY  152-94-18A-19H-TF
33053076930000,0,MARATHON OIL COMPANY,DEMARAY USA  41-2TFH
33053077000000,1103693,ENERPLUS RESOURCES USA CORPORATION,BEETLE  150-94-11C-12H
33053077010000,209516,ENERPLUS RESOURCES USA CORPORATION,LADYBUG  150-94-11C-12H-TF
33053077020000,1039938,ENERPLUS RESOURCES USA CORPORATION,WASP  150-94-11C-12H
